"school" "grade" "year" "subject" "block" "blockid" "nsb" "alpha_sb" "Y_sb" "Y_sb_tilde" "blp"
"sch01" "4" "1" "ela" "t1_g4_bela" 1 35 -0.0895924011678539 41.4285714285714 41.5181638297393 43.6338283514863
"sch01" "4" "1" "math" "t1_g4_bmath" 2 36 -0.688582172900865 51.25 51.9385821729009 52.1642205279622
"sch01" "5" "1" "ela" "t1_g5_bela" 3 40 6.30213599424448 55.325 49.0228640057555 55.731589773948
"sch01" "5" "1" "math" "t1_g5_bmath" 4 41 1.1271838817981 52.9756097560976 51.8484258742995 53.5162119596846
"sch01" "6" "1" "ela" "t1_g6_bela" 5 25 -0.841814702402032 46.24 47.081814702402 46.6583156060852
"sch01" "6" "1" "math" "t1_g6_bmath" 6 25 0.417935963921926 62.2 61.7820640360781 58.5735746910791
"sch01" "4" "2" "ela" "t2_g4_bela" 7 31 0.0184877874242021 54.1935483870968 54.1750605996726 53.5462389460872
"sch01" "4" "2" "math" "t2_g4_bmath" 8 31 4.2871108122549 51.7096774193548 47.4225666070999 54.4597227692334
"sch01" "5" "2" "ela" "t2_g5_bela" 9 37 1.20915823184134 56.2432432432432 55.0340850114019 55.9136088868955
"sch01" "5" "2" "math" "t2_g5_bmath" 10 36 1.26467714875708 57.1944444444444 55.9297672956874 54.1617136355886
"sch01" "6" "2" "ela" "t2_g6_bela" 11 39 -3.0026272922597 48.7435897435897 51.7462170358494 47.2760433153915
"sch01" "6" "2" "math" "t2_g6_bmath" 12 40 -0.164540777894753 50.125 50.2895407778948 51.2126533490669
"sch02" "4" "1" "ela" "t1_g4_bela" 1 9 -1.34103073000453 55.2222222222222 56.5632529522267 54.982011786028
"sch02" "4" "1" "math" "t1_g4_bmath" 2 9 -2.74387180308462 31.3333333333333 34.077205136418 41.4019045380758
"sch02" "5" "1" "ela" "t1_g5_bela" 3 21 6.17328842984988 65.3333333333333 59.1600449034834 67.1769376157649
