"school" "mu"
"sch01" 51.4173491115743
"sch02" 50.3593581189474
"sch03" 53.0104080047017
"sch04" 52.4742380153026
"sch05" 49.6111330879531
"sch06" 58.1972680198726
"sch07" 52.7190418808329
"sch08" 48.593845181414
"sch09" 43.7170417620199
"sch10" 50.3851048366536
"sch11" 54.1735475293542
"sch12" 39.548651423515
"sch13" 53.0693577581534
"sch14" 56.4090981905463
"sch15" 62.3723727912233
"sch16" 52.1914086819637
"sch17" 51.7059539705739
"sch18" 33.7616887024719
"sch19" 55.4462448774794
"sch20" 54.0557820279732
